FID_riv1	FID_reach_	length_int
9	85311	221.00000000000
9	85312	221.00000000000
9	85313	316.55300000000
9	85314	91.74480000000
9	85315	37.68360000000
9	86087	55.81720000000
9	86088	218.99400000000
9	86089	201.84500000000
9	86090	221.15900000000
9	86091	210.34100000000
9	86092	200.00000000000
9	86093	200.00000000000
9	86094	126.20700000000
9	86868	157.67600000000
9	86869	140.01500000000
9	87643	157.67600000000
9	87644	150.51500000000
9	88418	86.60460000000
9	88419	252.49900000000
9	88420	112.29600000000
9	89194	241.59800000000
9	89195	101.79600000000
9	89969	186.55100000000
9	89970	194.91500000000
9	90744	46.18420000000
9	90745	168.24300000000
9	91519	342.99300000000
9	91520	95.55780000000
9	92294	135.94200000000
9	92295	227.13200000000
9	92296	214.86700000000
9	92297	152.55300000000
9	92298	62.57550000000
9	92299	124.54400000000
9	92300	5.44999000000
9	93071	154.99300000000
9	93072	179.42400000000
9	93073	188.86000000000
9	93074	270.88900000000
9	93075	200.00000000000
9	93076	105.64000000000
9	93850	144.90100000000
9	93851	167.64000000000
9	94625	158.51500000000
9	94626	189.87400000000
9	95400	170.25000000000
9	95401	219.84400000000
9	95402	13.34270000000
9	96176	201.51800000000
9	96950	260.70400000000
9	96951	186.40700000000
9	97725	58.35460000000
9	97726	249.73700000000
9	97727	76.14620000000
9	98501	67.71980000000
10	89206	56.68220000000
10	89980	185.55400000000
10	89981	164.41300000000
10	90755	153.63200000000
10	90756	184.25700000000
10	91530	57.74210000000
10	91531	280.23500000000
10	92305	221.00000000000
10	93079	221.00000000000
10	93853	267.90600000000
10	93854	21.23530000000
10	94628	276.45600000000
10	94629	21.23530000000
10	95403	272.34300000000
10	96177	14.61330000000
10	96178	218.40400000000
10	96952	204.42500000000
10	96953	141.29000000000
10	97727	219.84400000000
10	98501	17.02220000000
11	85625	168.48700000000
11	85626	17.95180000000
11	86398	116.64100000000
11	86399	181.05000000000
11	87171	115.48600000000
11	87172	182.20600000000
11	87943	193.16700000000
11	87944	200.00000000000
11	87945	158.01300000000
11	88712	101.67200000000
11	88713	286.65100000000
11	88714	271.69700000000
11	88715	200.00000000000
11	88716	205.77100000000
11	88717	89.40980000000
11	89485	65.82380000000
11	89486	206.51900000000
11	90259	251.34300000000
11	91030	33.92140000000
11	91031	266.19200000000
11	91032	209.34400000000
11	91033	41.72220000000
11	91804	209.34400000000
11	92578	251.34300000000
11	93350	217.23700000000
11	93351	216.17400000000
11	93352	41.72220000000
11	94124	219.05000000000
11	94896	65.82370000000
11	94897	266.19200000000
11	94898	32.01590000000
11	95620	148.42800000000
11	95670	242.36100000000
11	96394	63.86470000000
11	96395	338.92600000000
11	96396	167.88400000000
11	96397	200.00000000000
11	96398	225.34900000000
11	96399	20.55320000000
11	96410	222.38700000000
11	96411	79.38790000000
11	96441	67.66060000000
11	96442	200.00000000000
11	96443	235.64600000000
11	96444	126.75000000000
11	97169	63.86470000000
11	97170	63.61540000000
11	97173	331.54000000000
11	97174	200.00000000000
11	97175	200.00000000000
11	97176	200.00000000000
11	97177	200.00000000000
11	97178	200.00000000000
11	97179	161.25000000000
11	97181	234.63700000000
11	97182	200.00000000000
11	97183	228.59700000000
11	97184	67.06190000000
11	97185	323.40300000000
11	97186	79.38790000000
11	97214	193.24900000000
11	97215	205.83800000000
11	97953	140.14500000000
11	97954	211.06500000000
11	97955	11.14560000000
11	97960	196.65800000000
11	97961	200.00000000000
11	97962	276.04700000000
11	97963	200.00000000000
11	97964	200.00000000000
11	97965	200.00000000000
11	97966	200.00000000000
11	97967	273.57300000000
11	97987	248.94100000000
11	97988	63.59950000000
11	98741	27.82260000000
11	98742	276.04600000000
11	98743	276.36300000000
11	98745	253.79400000000
11	98746	301.39500000000
11	98747	266.95200000000
11	98748	221.39600000000
11	98749	304.83800000000
11	98750	202.70800000000
11	98751	225.34900000000
11	98752	265.52200000000
11	98753	292.72200000000
11	98754	200.00000000000
11	98755	231.49900000000
11	98756	286.24700000000
11	98757	271.99700000000
11	98758	225.34900000000
11	98759	301.39500000000
11	98760	272.92500000000
11	98761	69.67810000000
11	99517	75.72980000000
11	99518	249.42000000000
11	99519	10.48280000000
12	103950	5.17982000000
12	104724	99.29070000000
13	100839	229.01600000000
13	101613	69.14010000000
13	101614	229.44200000000
13	102388	68.24950000000
13	102389	197.94300000000
13	103163	139.30200000000
13	103164	245.83700000000
13	103165	46.22260000000
13	103939	284.61500000000
13	104713	42.90070000000
13	104714	233.16700000000
13	104715	184.21700000000
13	104723	194.90700000000
13	104724	82.62780000000
13	105489	100.15200000000
13	105490	245.97800000000
13	105491	204.20900000000
13	105492	288.48800000000
13	105493	362.59300000000
13	105494	200.00000000000
13	105495	231.49900000000
13	105496	200.00000000000
13	105497	167.68600000000
14	98501	198.46300000000
14	99275	88.06170000000
